What changes would you recommend to improve this course?,Label,What did you like best about your instructors teaching?,Label,What did you like least about your instructor’s teaching?,Label,"Any further, constructive comment: ",Label
N/A,Select---,"Clearly explains the topics, provides examples, and does activities that will help us understand the subject more.",Select---,N/A,Select---,N/A,Select---
N/A,Select---,I like that we only do activities that made us explore the subject on our own and learn things in this way.,Select---,N/A,Select---,N/A,Select---
N/A,Select---,He explains the topics clearly and and provides examples that will help understand better.,Select---,N/A,Select---,N/A,Select---
Maybe the instructor needs to speak a little bit louder and clearly.,Select---,Explains the topics clearly and provides examples until we understand the topic.,Select---,Voice can be a bit louder and speaks clearly.,Select---,N/A,Select---
"The dissemination of information should be done efficiently because, in our experience with this course (both SE1 and SE2), we are really having a hard time acquiring information such as proper documentation format or updates in general. Despite having an official GC, the instructor still doesn't reply to inquiries even during work hours but replies to what food to bring for the panelists.",Select---,"That he makes himself available outside class hours sometimes, which we can use for consultations.",Select---,"Not related to the instructor's teaching, but he tends to relay information to one or few people, which results to not being able to disseminate it properly, instead of utilizing the official GC and be open for queries",Select---,"The course was already tough, so clearer guidance and responsiveness would’ve helped a lot, especially when new deliverables were introduced close to deadlines as it was often hard to get clarification. Also, information dissemination also felt inconsistent, and some defenses left us discouraged rather than supported. A bit more respect and constructive feedback during those sessions could really change the learning atmosphere.",Select---
Speak a little bit louder and clearly,Select---,Explains the topics clearly and provides example until we understand the topic.,Select---,The low voice that we can't understand sometimes.,Select---,N/A,Select---
N/A,Select---,N/A,Select---,Doesn't really teach us anything or guides us anymore throughout the sem.,Select---,N/A,Select---
Nothing,Select---,On time,Select---,minimal volume of voice while teaching,Select---,nothing,Select---
N/A,Select---,N/A,Select---,"Doesn't really teach us anything or guides us anymore throughout the sem, except for that one time.",Select---,N/A,Select---
None,Select---,Discussed topics with interest.,Select---,None,Select---,None,Select---
"Since the course is already a positive experience, it would be nice to maintain it as is",Select---,"The instructor is always available if there are any clarifications regarding something. The instructor also lets us think by ourselves and leads us to the proper way of thinking process and not just handing us answers, which helps us retain the information more.",Select---,Nothing,Select---,"The course itself is a great experience for students, and the instructor does his best to provide knowledge to students.",Select---
Nothing,Select---,He lets us experiment with the activities he gives us,Select---,Nothing,Select---,Nothing,Select---
Nothing,Select---,He explains well during computations/solving,Select---,Gives us quizzes/exams with a lot of identification/enumeration that requires rote memorization,Select---,Nothing,Select---
None,Select---,The instructor explains well during computations/solving,Select---,None,Select---,None,Select---
None,Select---,None,Select---,None,Select---,None,Select---
None,Select---,None,Select---,None,Select---,None,Select---
None,Select---,None,Select---,None,Select---,None,Select---
None,Select---,None,Select---,None,Select---,None,Select---
None,Select---,None,Select---,None,Select---,None,Select---
None,Select---,None,Select---,None,Select---,None,Select---
none,Select---,he explain well that all of us understand the topic/lesson,Select---,none,Select---,none,Select---
this was a summer class subject and I think we students would have more deeper understanding if this was an regular class,Select---,when we report and he explain more briefly after he asked about the report,Select---,none,Select---,none,Select---
none,Select---,none,Select---,none,Select---,none,Select---
none,Select---,none,Select---,none,Select---,none,Select---
none,Select---,she let us rype the whole code for us to be familiar with the language,Select---,she doesnt really teach deep about the materials,Select---,none,Select---
none,Select---,uses ppt is okay,Select---,"none, just lack of time",Select---,none,Select---
None the subject was perfect as it is.,Select---,Can answer every question regarding on the subject and can teach some techniques.,Select---,None.,Select---,One of the best teachers,Select---
"None, this subject is hard for a reason.",Select---,"Approachable, gives techniques and understandble.",Select---,None.,Select---,one of my favorite teachers.,Select---
None.,Select---,We have the same interest very funny and interactive.,Select---,None,Select---,STARDEW VALLEY,Select---
Needed more time to improve more on the project but it was doable and stressful at the same time,Select---,Interactive and Funny sometimes gives hints on how to improve system.,Select---,none,Select---,..,Select---
N/A,Select---,Jokes alot,Select---,none,Select---,..,Select---
