What changes would you recommend to improve this course?,Label,What did you like best about your instructors teaching?,Label,What did you like least about your instructor’s teaching?,Label,"Any further, constructive comment: ",Label
The course is already enjoyable; nothing to improve.,Joy,The instructor gives a step by step instructions on every topic that makes it understandable and easy to follow.,Joy,The only downside: I wanted more sample problems because they were fun to solve.,Joy,I liked how interactive the class was—it made the lessons enjoyable.,Joy
I really loved the practical activities.,Joy,Explains the topic really well,Joy,I can’t think of any negative points; I appreciated every lecture.,Joy,Your cheerful personality makes a huge difference in learning.,Joy
"The class is fun, engaging, and inspiring.",Joy,He shows kindness and genuine concern to students,Joy,The least I liked was that there weren’t enough optional workshops.,Joy,I really enjoyed the mix of learning and laughter in class.,Joy
I enjoyed the lectures and hands-on exercises.,Joy,Concepts were introduced in an easily digestible manner and were explained thoroughly.,Joy,No complaints — each meeting felt lively and clear.,Joy,I never felt scared to ask questions because of your kindness.,Joy
The course was joyful and motivating.,Joy,Approachable,Joy,The only issue: I began exploring related topics because class inspired me so much.,Joy,You made the class fun and easy to engage in.,Joy
The instructor makes lessons lively and engaging.,Joy,Every important concept was explained in an easy to understand manner.,Joy,I didn’t dislike anything; the class was patient and encouraging.,Joy,I loved how the subject didn’t feel heavy because of your teaching.,Joy
I had fun learning new topics through interactive sessions.,Joy,Very clear when discussing,Joy,The least was that I missed the class on days it didn’t meet.,Joy,Thank you for making the classroom a safe and happy space.,Joy
The course is exciting and enjoyable.,Joy,Concepts were explained very thoroughly; equations and formulas were explained step-by-step and thoroughly.,Joy,No negatives — the instructor created a joyful learning space.,Joy,I always left class with a smile and new knowledge.,Joy
I loved participating in class activities.,Joy,Concepts were well-explained,Joy,The only small gripe: I wanted more examples because they were illuminating.,Joy,I enjoyed the group activities and discussions you encouraged.,Joy
The instructor makes learning joyful and effective.,Joy,Every important concept was explained well.,Joy,I can’t point to anything — the course was motivating throughout.,Joy,You are one of the reasons I enjoyed this semester so much.,Joy
I had a great and fun learning experience.,Joy,Passion for teaching,Joy,The least I liked was the short time for group work; it was too fun to end.,Joy,Thank you for guiding us while also letting us enjoy the process.,Joy
The course is already excellent; very enjoyable.,Joy,Explains clearly and well,Joy,No complaints — the instructor guided us with positivity.,Joy,You made it fun to come to class even on tough days.,Joy
I really enjoyed the projects and exercises.,Joy,Examples were shown as a way to explain certain concepts.,Joy,The only issue: I wanted additional practice sessions because they were helpful and fun.,Joy,Your enthusiasm about teaching inspires us to also love learning.,Joy
The class was fun and engaging every session.,Joy,Gives instructions and detailed teaching,Joy,I didn’t dislike anything; I enjoyed the clarity and warmth.,Joy,The lessons were clear and enjoyable at the same time.,Joy
I loved the enjoyable learning environment.,Joy,Very Cleat Instructions,Joy,The least was that the lessons finished before I had a chance to ask everything.,Joy,Thank you for always making time to help us with patience.,Joy
The professor makes lessons lively and interactive.,Joy,She's very understanding po,Joy,No negatives — the class genuinely made me excited about the subject.,Joy,You’re the kind of teacher that makes students love the subject more.,Joy
I had fun and learned a lot.,Joy,Very attentive and very patient with students,Joy,The only downside: I wished we had more interactive quizzes because they were enjoyable.,Joy,The fun activities in your class made learning less stressful.,Joy
The course is motivating an joyful.,Joy,I like his concern on his student's learning capacity.,Joy,I can’t think of any faults — the instructor was encouraging and inspiring.,Joy,I will always appreciate how much you cared for our progress.,Joy
I enjoyed the lectures and hands-on projects.,Joy,Very creative at teaching,Joy,The least I liked was needing more time to discuss ideas because we ran out of time.,Joy,You really know how to connect with your students.,Joy
The instructor makes learning fun and exciting.,Joy,Very Clear Teaching,Joy,No complaints — every lecture felt meaningful and uplifting.,Joy,Thank you for keeping the class lively and engaging every meeting.,Joy
I loved the interactive sessions and group activities.,Joy,Very accommodating,Joy,The only small gripe: I wanted a follow-up workshop since it was so helpful.,Joy,Your positive attitude rubbed off on the whole class.,Joy
The course is enjoyable and well-organized.,Joy,[PROFESSOR] would try to put challenges esp in coding. I love the debugging part although it's kinda hard but it's fun,Joy,I didn’t dislike anything; the teaching sparked my curiosity.,Joy,I’m grateful for your creative and enjoyable way of teaching.,Joy
I had a joyful experience attending the classes.,Joy,Very Motivational,Joy,The least was that I wanted more guest speakers because they were inspiring.,Joy,You made the subject not only understandable but exciting.,Joy
The projects were engaging and fun.,Joy,His practical teaching,Joy,No negatives — the instructor made the material shine.,Joy,I had fun learning because of how interactive the lessons were.,Joy
I really enjoyed the professor’s teaching style.,Joy,Mag give si Sir group activity and then he would make sure na mag listen talaga buong class hehehe,Joy,The only issue: I now spend extra hours studying because I enjoyed class so much.,Joy,Your encouragement always made me feel confident in class.,Joy
The course is already excellent; nothing to improve.,Joy,[PROFESSOR] always ensures his students learns his topics,Joy,I can’t find anything negative — it was a consistently joyful experience.,Joy,Thank you for making the subject less intimidating and more fun.,Joy
I loved how engaging the lessons were.,Joy,Approachable,Joy,The least I liked was the briefness of each session compared to how much I enjoyed them.,Joy,"You brought joy into every session, and I appreciate that.",Joy
The instructor makes learning fun and motivating.,Joy,[PROFESSOR] is the best teacher when it comes to explaining data structures.,Joy,No complaints — the instructor’s encouragement helped me a lot.,Joy,Your cheerful energy made us feel comfortable to learn and try.,Joy
