What changes would you recommend to improve this course?,Label,What did you like best about your instructors teaching?,Label,What did you like least about your instructor’s teaching?,Label,"Any further, constructive comment: ",Label,
More thesis sample related to local area since it is difficult finding in the internet,Acceptance,Charismatic and concise,Joy,No answer,Null,None at the moment,Null,
Nothing,Null,Explains well. Enjoyed the games,Joy,Nothing,Null,None,Null,
None,Null,The instructor was always prepared and interactive during class,Satisfaction,None,Null,None,Null,
NA,Null,Yes,Irrelevant,None,Null,Yes,Irrelevant,
Include f2f fun group activities,Boredom,[PROFESSOR] would always try to make things easier and explain topics step by step so that we wouldn't feel pressured everytime especially the subject is somewhat complex for us.,Satisfaction,N/A,Null,No self study for this course pls (like watch recorded videos or what) we should meet f2f always,Disappointment,
NONE,Null,GOOD AT TEACHING,Satisfaction,NONE,Null,NONE,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,Precise or On point Explanation and Real life examples that enhances the students understanding in the said topic.,Satisfaction,N/A,Null,N/A,Null,
Na,Null,Guiding the projects,Satisfaction,Na,Null,Na,Null,
More time,Null,Literally the way how he teach. Sir jaydee indeed a good teacher. he can effectively let us absorb the lesson and all. And also his jokes.,Joy,Nothing,Null,This summer class is bit draining since it's my first. and it's like it doesn't have rest even alternate schedule.,Disappointment,
NA,Null,Yes,Irrelevant,None,Null,NA,Null,
N/A,Null,Engaging fun activities with money prizes,Satisfaction,N/A,Null,N/A,Null,
Na,Null,Teaching Style,Satisfaction,Na,Null,Na,Null,
None,Null,Very Knowledgeable and easy to understand,Satisfaction,None,Null,One of the best,Satisfaction,
None,Null,The instructor was always prepared and interactive during class,Satisfaction,None,Null,None,Null,
N/A,Null,Activities connected to the topic which makes us understand more the topic he's talking about,Satisfaction,N/A,Null,N/A,Null,
None,Null,The Mastery of the subject.,Satisfaction,"Sometimes teaching too fast, repeats, and teaches fast again",Disappointment,none,Null,
Na,Null,Confirmation of information,Acceptance,Na,Null,Na,Null,
MORE PUZZLES!,Boredom,Everything,Satisfaction,None,Null,One of the best,Satisfaction,
NONE,Null,GOOD AT TEACHING,Satisfaction,NONE,Null,NONE,Null,
NA,Null,Yes,Irrelevant,None,Null,NA,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
NA,Null,Yes,Irrelevant,None,Null,Na,Null,
"make it more interactive, its too boring, but a very important subject",Boredom,none,Null,the saturated teaching for hours.,Boredom,none,Null,
None,Null,The instructor was always prepared and interactive during class and helps in making the lesson easier to understand,Satisfaction,None,Null,None,Null,
Na,Null,Teaching Style,Satisfaction,Na,Null,Na,Null,
NONE,Null,GOOD AT TEACHING,Satisfaction,NONE,Null,NONE,Null,
N/A,Null,Adaptability,Satisfaction,N/A,Null,N/A,Null,
Nothing,Null,In-depth teaching,Satisfaction,Nothing,Null,Nothing,Null,
none,Null,her teaching,Satisfaction,lack of teaching,Disappointment,none,Null,
Teach with visuals,Acceptance,Solving activities,Satisfaction,N/A,Null,N/A,Null,
It would  be helpful to have clearer guidelines for group tasks. This would help us understand our individual responsibilities better and improve collaboration and productivity.,Acceptance,"What I liked best about our instructor's teaching is that he is approachable and always answers our questions clearly. During the development of our system, he also gives helpful recommendations that guide us in improving our system to work effectively.",Joy,"What I liked least about my instructor’s teaching is that he sometimes expects us to have a strong background in software engineering, which can be overwhelming. At times, he forgets to provide detailed guidelines, especially when it comes to documentation.",Disappointment,"but overall, they were always there to support and guide us in devwloping our system projects.",Satisfaction,
"Nothing much. As it is already good as it is and every lesson can be easily learned, provided you do your part.",Satisfaction,He is very hands-on on his students,Satisfaction,I don’t have any :),Null,"Nothing much, he is doing his part very well throughout the whole semester",Satisfaction,
More interactive teaching,Acceptance,Exercise intensity,Acceptance,N/A,Null,N/A,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
Clear Instructions,Acceptance,"Group activities 
",Acceptance,N/A,Null,Clear instructions,Irrelevant,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
None,Null,The class is always interactive and fun which reflects the essence of web development which is fun and creative. The instructor also teaches well,Joy,None,Null,None,Null,
None,Null,Gives chance,Satisfaction,Hard quizzes,Disappointment,None,Null,
N/A,Null,Interactivity,Joy,N/A,Null,N/A,Null,
Na,Null,Teaching Style,Satisfaction,Na,Null,Na,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
there's no group activity or such that can also help students to brainstorm,Boredom,his teaching method is entertaining,Joy,i dont know,Null,"just keep it the way it is, or keep further improvements",Satisfaction,
None,Null,None,Null,None,Null,None,Null,
None because its very easy to Learn,Satisfaction,He teach very well,Satisfaction,N/A,Null,N/A,Null,
Educating about newer design resources,Acceptance,Interactivity,Joy,N/A,Null,N/A,Null,
N/A,Null,For giving example for those things that we didn’t understang,Satisfaction,N/A,Null,N/A,Null,
none,Null,teaching,Satisfaction,way of teaching,Disappointment,none,Null,
none,Null,Passionate in teaching,Satisfaction,None,Null,none,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,Gives a lot of activities that helped us progress our knowledge and skills,Satisfaction,None,Null,None,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,Provide clear examples,Satisfaction,None,Null,None,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
None,Null,Provides learning materials,Satisfaction,Big projects,Disappointment,None,Null,
None,Null,Easy to approach and ask for advice according to my concerns on my thesis paper.,Satisfaction,None so far,Null,None also,Null,
"increase the time for lectures,",Acceptance,his entertaining teaching method,Joy,"short time of lectures, per meeting",Disappointment,none so far,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
" It would  be beneficial to have clearer examples, especially when introducing new tools or topics.",Acceptance,"What I liked best about my instructor's teaching is that he is approachable and not intimidating, which makes it easy for us to ask questions related to schoolwork. He is also considerate with our outputs and understands our limitations as students.",Joy,What I liked least about my instructor's teaching is that he sometimes announces class cancellations or changes too late. This causes confusion and affects our ability to manage our time properly.,Disappointment,"He meets the teaching material requirements by providing individual quizzes and activities, whether through hands-on coding or written handouts during every discussion. He also assigns projects that help reinforce what we’ve learned. ",Satisfaction,
None,Null,The instructor was patient in teaching us the lesson about this course. The instructor was always prepared when teaching.,Satisfaction,None,Null,None,Null,
None. Everything seems to be fine,Satisfaction,How interactive he is and cheerful,Joy,Joking and judging around with the student. It is quite funny though,Irrelevant,None,Null,
none,Null,Leadership and Considerate,Satisfaction,None,Null,none,Null,
None,Null,Gives a lot of examples,Acceptance,None,Null,None,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
None,Null,Provides learning source,Acceptance,Fast demo,Disappointment,None,Null,
None,Null,None,Null,None,Null,None,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
None,Null,None,Null,None,Null,None,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
none,Null,teaching,Satisfaction,none,Null,none,Null,
None,Null,Explains the lesson well,Satisfaction,None,Null,None,Null,
None,Null,None,Null,None,Null,"None
",Null,
N/a,Null,Way of teaching,Satisfaction,N/a,Null,N/a,Null,
None,Null,None,Null,None,Null,None,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
None,Null,Gives chances to students to pass the subject.,Joy,"The lessons sometimes are too advanced, which make it hard to keep up.",Disappointment,None,Null,
None,Null,None,Null,None,Null,None,Null,
N/a,Null,N/a,Null,N/a,Null,N/a,Null,
none,Null,yeah,Irrelevant,none,Null,no,Null,
None,Null,None,Null,None,Null,None,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
None,Null,None,Null,None,Null,None,Null,
More accurate teaching,Acceptance,None,Null,None,Null,None,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
None,Null,Gives course sources that helped us learn more,Acceptance,None,Null,None,Null,
i recommend including more interactive and real-world examples to help us better understand the lessons.,Acceptance,What I liked best about our instructor's teaching is how she explains tasks and lessons clearly and in detail. She is very professional in her approach and always makes sure we understand the discussions before moving forward.,Joy,"There is nothing I liked least about the instructor's teaching, as everything was clear, organized, and effective.""",Irrelevant,The course was a valuable experience that helped me understand the subject better.,Satisfaction,
None,Null,None,Null,None,Null,None,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
N/A,Null,Giving examples for those things that we didn’t understand,Acceptance,N/A,Null,N/A,Null,
None,Null,Very accurate teaching,Satisfaction,None,Null,None,Null,
None,Null,Give course sources that helped us learn and understand more,Acceptance,None,Null,None,Null,
None,Null,Taught all the lessons that need to be discussed.,Satisfaction,Gives pressure to students.,Disappointment,None,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
None,Null,Precise teaching,Satisfaction,None,Null,None,Null,
None,Null,Knowledge of the Course,Satisfaction,None,Null,None,Null,
"It would also be helpful to encourage more open forums or debates, so students can better understand different perspectives on ethical issues.",Acceptance,"What I liked best about the instructor’s teaching is how he explained ethical lessons using real-life examples and dilemmas, often comparing them to political issues or case studies to make the discussions more relatable and thought-provoking.",Joy,"It's not that I disliked anything, but sometimes the real-life examples and explanations took up a lot of time, leaving less room for the rest of the discussion. However, it was still worthwhile since those explanations helped us understand different perspectives more deeply.",Acceptance,the course gives us more valuable insights about ethics in comouting studies,Satisfaction,
None,Null,None,Null,None,Null,None,Null,
More communication with the student,Acceptance,Straight forward,Satisfaction,They talk fast,Disappointment,None,Null,
none,Null,well determine in teaching this course,Satisfaction,none,Null,none,Null,
None,Null,Knowledge about the Course,Satisfaction,None,Null,none,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
none,Null,Speed,Acceptance,Speed,Null,None,Null,
None,Null,None,Null,None,Null,None,Null,
None,Null,Gives learning materials that helped us understand the lessons,Acceptance,None,Null,None,Null,
None,Null,Gives learning materials that help us study,Acceptance,The topic the instructor tried to teach us was too advance for us.,Disappointment,None,Null,
N/A,Null,N/A,Null,N/A,Null,N/A,Null,
None,Null,Teaching Methods,Satisfaction,None,Null,none,Null,
It would  be helpful to have clearer guidelines and expectations for group tasks to improve collaboration and productivity.,Acceptance,he is considerate and approachable where he guides us on planning and developing system,Joy,"What I liked least about my instructor’s teaching is that he sometimes expects us to have a strong background in software engineering, which can be overwhelming. At times, he forgets to provide detailed guidelines, especially when it comes to documentation. He also explains too fast when it comes in discussions. ",Disappointment,but overall they are always there to give full support as they can for us to nake our system works well,Satisfaction,
None,Null,None,Null,None,Null,None,Null,
Explain the logic behind the lab activity after or at the end of the glass.,Acceptance,Informative,Satisfaction,None,Null,I understood the lessons well and improved my logic because of him and sir [PROFESSOR].,Satisfaction,
None,Null,None,Null,None,Null,None,Null,
Outside of school internship,Acceptance,Everything,Joy,None,Null,One of the best,Satisfaction,
none,Null,Teaching,Satisfaction,none,Null,none,Null,
None,Null,None,Null,None,Null,None,Null,
