School Year,Semester,Course,Course_code,Subject_Description,What changes would you recommend to improve this course?,Label,School Year,Semester,Course,Course_code,Subject_Description,What did you like best about your instructors teaching?,Label,School Year,Semester,Course,Course_code,Subject_Description,What did you like least about your instructor’s teaching?,Label,School Year,Semester,Course,Course_code,Subject_Description,"Any further, constructive comment: ",Label
2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 142 ,Systems Administration and Maintenance,There is nothing I would recommend to improve regarding this course. The professor delivered the material with clarity and effectiveness and I gained a lot of knowledge both from his instruction and the course.,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 212,Quantitative Methods,Giving the materials itself.,Satisfaction,,,,,,No complaints—the teaching was thorough.,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 135,Systems Integration and Architecture,Nice,Satisfaction
2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 138,IT Elective 3,None. All is perfect.,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 103,Data Structures and Algorithms,about the codings,Satisfaction,,,,,,"Honestly, there was nothing I disliked at all.",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 105,"Application Development and 
Emerging Technologies",keep it up,Satisfaction
,,,,,Nothing much (all is well),Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,"Social Issues and
Professional Practice",given examples,Satisfaction,,,,,,Maybe the only issue is that I wanted more challenges.,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 139,IT Elective 1,All goods,Satisfaction
2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 221 ,"Integrative Programming
and Technologies 1","Nothing, really. Sir Ceed is already doing great! (Goated Master)",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 139,IT Elective 1,The classes were on time and some were dismissed like 30 minutes early.,Satisfaction,,,,,,There isn’t anything bad to say about the teaching.,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 135,Systems Integration and Architecture,All goods,Satisfaction
2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 223,IT Elective 2,"Nothing, because she teaches very well",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 133,Networking 2,Additional information and lab activities.,Satisfaction,,,,,,The only thing was I wanted more sessions with the same instructor.,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 137,Web Systems and Technologies,All goods,Satisfaction
2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 221 ,"Integrative Programming
and Technologies 1",Everything is good,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 105,"Application Development and 
Emerging Technologies",Activities and Grace Periods,Satisfaction,,,,,,I can’t think of anything least liked—it was excellent.,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 139,IT Elective 1,i was able to understand the discussions in this subject because the way of her teaching,Satisfaction
2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 225,Advanced Database Systems,Nothing much this is the best,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 101,Computer Programming 1,Straight to the point.,Satisfaction,,,,,,"If I had to choose, maybe the lectures ended too quickly.",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 105,"Application Development and 
Emerging Technologies",Always all ears for students and considerate at most time,Satisfaction
2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 221 ,"Integrative Programming
and Technologies 1",I think the course is already good as it is,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 103,Data Structures and Algorithms,Her teaching is good,Satisfaction,,,,,,Nothing—it was a positive learning environment all throughout.,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 133,Networking 2,Sir is one of the best profs I know in our department and is doing his job excellently,Satisfaction
2024-2025,2nd Semester,Bachelor of Science in Computer Science,CS 130,Thesis 1,"Since the course is already a positive experience, it would be nice to maintain it as is",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 131,Advanced Database Systems,Lahat,Satisfaction,,,,,,"I enjoyed everything, so I don’t really have a least liked part.",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 140,Capstone Project and Research 1,keep up the good work sir! thank you.,Satisfaction
2024-2025,2nd Semester,Bachelor of Science in Computer Science,CS 136,Modeling and Simulation,None the subject was perfect as it is.,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,"Social Issues and
Professional Practice",Their professionalism and skills,Satisfaction,,,,,,Nothing bothered me about the way the instructor taught.,Satisfaction,2024-2025,2nd Semester,Bachelor of Science in Computer Science,CS 130,Thesis 1,The GOAT,Satisfaction
2024-2025,2nd Semester,Bachelor of Science in Computer Science,CC 102,Computer Programming 2,"Nothing, all is well.",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 101,Computer Programming 1,Detailed,Satisfaction,,,,,,"The teaching was solid, I have no negatives.",Satisfaction,2024-2025,Summer,Bachelor of Science in Computer Science,CS 141,Practicum / Industry Immersion,Extend the tour like more company,Satisfaction
2024-2025,2nd Semester,Bachelor of Science in Computer Science,CC 102,Computer Programming 2,Intructor is already good no need for improvements,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 103,Data Structures and Algorithms,straight to the point,Satisfaction,,,,,,I suppose the only thing is that I wished we had more activities.,Satisfaction,2024-2025,Summer,Bachelor of Science in Computer Science,STAT 120,Statistics for Computer Sciencе,"Overall, the experience while in the class was  worth it ",Satisfaction
2024-2025,2nd Semester,Bachelor of Science in Computer Science,CC 102,Computer Programming 2,none because our teacher teaches very well,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,He is so responsible,Satisfaction,,,,,,Everything worked for me—nothing stands out as least liked.,Satisfaction,2024-2025,2nd Semester,Bachelor of Science in Computer Science,CS 130,Thesis 1,"The course itself is a great experience for students, and the instructor does his best to provide knowledge to students.",Satisfaction
2024-2025,2nd Semester,Bachelor of Science in Computer Science,CS 134,Operating Systems,"none, [PROFESSOR] is very well in this sub",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,"Social Issues and
Professional Practice",attitude,Satisfaction,,,,,,There isn’t anything I could complain about.,Satisfaction,2024-2025,2nd Semester,Bachelor of Science in Computer Science,CS 130,Thesis 1,None all good,Satisfaction
2024-2025,2nd Semester,Bachelor of Science in Computer Science,CC 102,Computer Programming 2,Wala. perfect,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 101,Computer Programming 1,Deep and wide range of topics,Satisfaction,,,,,,Nothing—it was all clear and enjoyable.,Satisfaction,2024-2025,2nd Semester,Bachelor of Science in Computer Science,CS 130,Thesis 1,nope overall is 10/10,Satisfaction
2024-2025,2nd Semester,Bachelor of Science in Computer Science,CS 130,Thesis 1,none everything is great and fine,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,WD 123,Web Development 2,Teaching style,Satisfaction,,,,,,Maybe the only thing is that I always wanted more examples.,Satisfaction,2024-2025,2nd Semester,Bachelor of Science in Computer Science,CS 130,Thesis 1,No comment goated prof,Satisfaction
,,,,,None since its already okay,Satisfaction,,,,,,N/A,Acceptance,,,,,,Nothing in particular—I liked the teaching style.,Satisfaction,2024-2025,2nd Semester,Bachelor of Science in Computer Science,WD 114,Web Development 1,The class still held value at the of the day and still taught me the fundamentals of web development.,Satisfaction
2024-2025,2nd Semester,Bachelor of Science in Computer Science,CS 130,Thesis 1,Nothing so far everything was handled perfectly,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 143,Thesis 2,Clear,Satisfaction,,,,,,The only “problem” is that the class ended too soon.,Satisfaction,2024-2025,2nd Semester,Bachelor of Science in Computer Science,DS 118,Discrete Structures 2,It was a good enough class with a lot of learning moments.,Satisfaction
2024-2025,2nd Semester,Bachelor of Science in Computer Science,CS 134,Operating Systems,"None, the teaching method is quite effective.",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,Very Good Teaching,Satisfaction,,,,,,Everything was great; nothing negative comes to mind.,Satisfaction,2024-2025,2nd Semester,Bachelor of Science in Computer Science,CC 102,Computer Programming 2,best teacher,Satisfaction
2024-2025,2nd Semester,Bachelor of Science in Computer Science,CC 102,Computer Programming 2,Nothing. All perfect,Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,Very Clear and Loud,Satisfaction,,,,,,I can’t find a least liked part—it was all handled well.,Satisfaction,2024-2025,2nd Semester,Bachelor of Science in Computer Science,CC 102,Computer Programming 2,good teacher!,Satisfaction
2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 323,Information Assurance and Security 1,"i don't have any recommendation to improve this course, because i have a good experience in this course.",Satisfaction,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,Nice,Satisfaction,,,,,,Perhaps the only thing is that I wanted more time to learn.,Satisfaction,2024-2025,2nd Semester,Bachelor of Science in Computer Science,WD 114,Web Development 1,good,Satisfaction
